Battle of the Bulge,1945.0,NaN,NaN,United States,Germany
Battle of the Somme,1916.0,50°00′56″N,02°41′51″E,France,Germany
Battle of Waterloo,1815.0,50°40′41″N,4°24′44″E,France,United Kingdom
Battle of Passchendaele,1917.0,50°54′1″N,3°1′16″E,Belgium,Germany
Battle of Thermopylae,1917.0,38°47′45″N,22°32′13″E,Greek city-states,Achaemenid Empire
Battle of Austerlitz,1805.0,49°07′41″N,16°45′45″E,French Empire,Russian Empire
Battle of Midway,1942.0,30°N,178°W,United States,Japan
Battle of Gettysburg,1863.0,39°48′41″N,77°13′33″W,United States,Confederate States
Battle of Hastings,1066.0,NaN,NaN,Duchy of Normandy,Kingdom of England
Battle of Iwo Jima,1945.0,24°47′N,141°19′E,United States,Japan
Battle of Stalingrad,1943.0,48°42′N,44°31′E,Operation Badr,Heinkel He 177
Battle of the Alamo,1836.0,29°25′32″N,98°29′10″W,Mexican Republic,Republic of Texas
Battle of Britain,1940.0,NaN,NaN,Beaufighter,Germany
Battle of Trafalgar,1805.0,36°15′N,6°12′W,France,United Kingdom
Battle of Leyte Gulf,1944.0,10°22′12″N,125°21′18″E,United States,Japan
Battle of the Little Bighorn,1876.0,45°33′54″N,107°25′44″W,Lakota,United States
Battle of Antietam,1862.0,39°28′24″N,77°44′41″W,United States,Confederate States
Battle of Berlin,1945.0,52°31′07″N,13°22′34″E,Soviet Union,Germany
Battle of Agincourt,1415.0,50°27′49″N,2°8′30″E,Kingdom of England,Kingdom of France
First Battle of Bull Run,1861.0,38°48′54″N,77°31′21″W,United States,Confederate States
Battle of Okinawa,1945.0,26°30′N,128°00′E,United States,Japan
Battle of Plassey,1757.0,23°48′N,88°15′E,A. Vaidyanatha Iyer,Bengal Subah
Second Battle of El Alamein,1942.0,30°50′30″N,28°56′33″E,Italy,British Empire
Battle of Avdiivka (2022–present),2022.0,48°8′N,37°45′E,Russia,Ukraine
Battle of Jutland,1916.0,56°42′N,5°52′E,United Kingdom,Germany
